Moneda,Fecha,Market_Cap
bitcoin,2019-09-10,181228983504.8709
bitcoin,2019-09-11,182006412816.34204
bitcoin,2019-09-12,186490286819.08597
bitcoin,2019-09-13,185791118116.52597
bitcoin,2019-09-14,185709926005.05557
bitcoin,2019-09-15,184860740267.84445
bitcoin,2019-09-16,184216635305.296
bitcoin,2019-09-17,183148194810.27164
bitcoin,2019-09-18,182304851001.81525
bitcoin,2019-09-19,183793185092.94284
bitcoin,2019-09-20,182621118150.38165
bitcoin,2019-09-21,179541584400.57428
bitcoin,2019-09-22,180261864537.87436
bitcoin,2019-09-23,174073117682.94675
bitcoin,2019-09-24,158225996381.2368
bitcoin,2019-09-25,151968918856.4794
bitcoin,2019-09-26,145450672156.79562
bitcoin,2019-09-27,147034755881.78366
bitcoin,2019-09-28,147518938470.12482
bitcoin,2019-09-29,144886125387.55658
bitcoin,2019-09-30,148699326425.13895
bitcoin,2019-10-01,150346803070.61414
bitcoin,2019-10-02,150093691781.89334
bitcoin,2019-10-03,146959035399.77228
bitcoin,2019-10-04,146603545122.07248
bitcoin,2019-10-05,146326858013.4359
bitcoin,2019-10-06,141846566055.1005
bitcoin,2019-10-07,147113201630.43686
bitcoin,2019-10-08,147101302074.693
bitcoin,2019-10-09,154173400068.15204
bitcoin,2019-10-10,153974523119.16272
bitcoin,2019-10-11,148684409190.17136
bitcoin,2019-10-12,149460560799.4891
bitcoin,2019-10-13,149295847366.54712
bitcoin,2019-10-14,150188449071.35995
bitcoin,2019-10-15,147132917995.71127
bitcoin,2019-10-16,144153894666.31094
bitcoin,2019-10-17,145395122717.3465
bitcoin,2019-10-18,143241128773.44717
bitcoin,2019-10-19,143016860664.09183
bitcoin,2019-10-20,147845092519.85434
bitcoin,2019-10-21,147972317568.96027
bitcoin,2019-10-22,144778678025.77008
bitcoin,2019-10-23,134533554377.15782
bitcoin,2019-10-24,133881191476.35277
bitcoin,2019-10-25,155391555503.11636
bitcoin,2019-10-26,166118326255.2487
bitcoin,2019-10-27,171191596562.45987
bitcoin,2019-10-28,166074573773.0519
bitcoin,2019-10-29,169552821617.46747
bitcoin,2019-10-30,165289440818.62827
bitcoin,2019-10-31,165197797836.50772
bitcoin,2019-11-01,166428932044.73645
bitcoin,2019-11-02,167702162283.47888
bitcoin,2019-11-03,166118344447.8207
bitcoin,2019-11-04,169099256441.51648
bitcoin,2019-11-05,167676477990.56866
bitcoin,2019-11-06,168462131862.39618
bitcoin,2019-11-07,166326340114.0134
bitcoin,2019-11-08,158619022798.02048
bitcoin,2019-11-09,159050488591.96796
bitcoin,2019-11-10,162996713000.82236
bitcoin,2019-11-11,157759659438.00317
bitcoin,2019-11-12,158722325407.9381
bitcoin,2019-11-13,158380664653.97025
bitcoin,2019-11-14,156230551241.27246
bitcoin,2019-11-15,152925645908.6678
bitcoin,2019-11-16,153343011226.43033
bitcoin,2019-11-17,153491320212.84177
bitcoin,2019-11-18,148089631526.6356
bitcoin,2019-11-19,146797393103.30997
bitcoin,2019-11-20,146173851045.95633
